epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.4875,1.21858,1.97988,1.72958,1.05175,0.24849,0.22581,0.2414,0.14738,0.22782,0.21445,0.21735,0.101,1.56365,3.87719,14.5026,1.36334,0.000548633,0.000548633,0.000548633
2,25.0165,1.25765,2.20648,1.40543,1.05269,0.15502,0.10101,0.11376,0.07425,0.15365,0.09715,0.1105,0.05744,2.0508,22.119,5.79425,2.68227,0.00110321,0.00110321,0.00110321
3,37.4824,1.56502,2.82996,1.41201,1.20973,0.66269,0.35294,0.51664,0.31992,0.62004,0.28601,0.44727,0.25647,2.03284,7.58733,1.82424,1.83286,0.00165668,0.00165668,0.00165668
4,50.3757,1.79411,2.48078,1.66174,1.24963,0.14867,0.20463,0.09953,0.0526,0.14643,0.1955,0.09609,0.04355,2.1493,5.35274,4.81891,2.4581,0.00166205,0.00166205,0.00166205
5,62.7229,1.8612,3.07501,1.46267,1.25386,0.21129,0.34458,0.23751,0.09637,0.2537,0.24543,0.23702,0.10582,2.18793,3.32286,1.91153,1.80784,0.0016604,0.0016604,0.0016604
6,74.826,1.64178,2.29176,1.2863,1.17056,0.06377,0.09134,0.04212,0.02481,0.0606,0.08699,0.03849,0.02129,2.93103,6.70102,3.80804,2.71158,0.00165875,0.00165875,0.00165875
7,87.0536,1.52564,2.22643,3.27511,1.19313,0.37726,0.37601,0.35401,0.2104,0.37788,0.37663,0.35475,0.19033,1.49029,2.43381,1.17988,1.24999,0.0016571,0.0016571,0.0016571
8,99.3434,1.57105,2.27809,1.31089,1.16172,0.30238,0.48583,0.30087,0.17687,0.303,0.47092,0.29286,0.14014,1.50056,2.45544,2.02572,1.22564,0.00165545,0.00165545,0.00165545
9,111.723,1.4122,2.04182,1.18194,1.10289,0.32242,0.47774,0.42978,0.28564,0.31063,0.45501,0.41542,0.22572,1.50875,2.27445,1.26727,1.26157,0.0016538,0.0016538,0.0016538
10,123.988,1.34975,1.93521,1.14009,1.11156,0.46912,0.3844,0.36177,0.23491,0.46552,0.37798,0.35148,0.19026,1.43758,2.41334,1.36387,1.24349,0.00165215,0.00165215,0.00165215
11,136.268,1.2998,1.93225,0.96069,1.06413,0.4275,0.45786,0.49907,0.36271,0.4232,0.44049,0.48079,0.29242,1.31307,2.14687,1.10239,1.1659,0.0016505,0.0016505,0.0016505
12,148.664,1.24,1.8713,1.02364,1.07102,0.72031,0.40051,0.48988,0.35303,0.72295,0.3943,0.48313,0.30406,1.29922,2.15757,1.07214,1.1657,0.00164885,0.00164885,0.00164885
13,161.162,1.19798,1.84984,0.96585,1.059,0.42727,0.43985,0.47745,0.34703,0.42318,0.42623,0.46057,0.27369,1.25472,2.10449,1.09892,1.14576,0.0016472,0.0016472,0.0016472
14,173.665,1.17225,1.82744,0.87123,1.01048,0.75099,0.48582,0.55858,0.42056,0.75909,0.47135,0.55012,0.3407,1.21903,2.12465,1.14266,1.12387,0.00164555,0.00164555,0.00164555
15,185.987,1.21435,1.79485,0.8929,1.04682,0.46467,0.46408,0.53099,0.38102,0.45256,0.43223,0.49718,0.29151,1.222,2.08448,0.95077,1.10961,0.0016439,0.0016439,0.0016439
16,198.265,1.15763,1.79986,0.88027,1.0153,0.67488,0.53251,0.5372,0.40657,0.67352,0.52932,0.53635,0.35603,1.20822,2.02228,0.97885,1.11552,0.00164225,0.00164225,0.00164225
17,210.311,1.14486,1.7247,0.91023,1.0275,0.37106,0.56313,0.52052,0.39077,0.36074,0.54334,0.49971,0.30908,1.16883,1.95039,0.93581,1.09085,0.00164059,0.00164059,0.00164059
18,222.353,1.18629,1.76689,0.91313,1.02823,0.3669,0.5626,0.52155,0.37436,0.36106,0.55018,0.5111,0.31465,1.25645,1.9751,1.06633,1.12079,0.00163894,0.00163894,0.00163894
